福建移动,#genre#
厦门-2 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8
厦门-3 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8
乐游 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227083/index.m3u8
纪实人文 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225946/index.m3u8
金鹰纪实 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226937/index.m3u8
金鹰卡通 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8
黑莓电影 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225891/index.m3u8
黑莓动画 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225878/index.m3u8
第一财经 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226564/index.m3u8
动漫秀场 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227071/index.m3u8
生活时尚 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227091/index.m3u8
欢笑剧场 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227145/index.m3u8
都市剧场 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227204/index.m3u8
游戏风云 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227075/index.m3u8
哒啵电竞 高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227252/index.m3u8
4KUHD 4K超高清, http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
YouTube「P」,#genre#
三立INEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
寰宇新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
东森财经新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
运通财经, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV06.m3u8
信大, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
DW NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
中视新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
K-POP, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8
民视新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
CCTV4中文国际, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8
凤凰资讯, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8
ABC NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8
台视新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
天才冲冲冲「综艺」, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
ASTRO AWANI, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV27.m3u8
中天新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
Tokyo Shibuya「东京涩谷」, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV29.m3u8
大爱, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
TVBS网路新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
三立NEWS+, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
CBN NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV33.m3u8
INDIA TODAY, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV36.m3u8
FRANCE 24, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV38.m3u8
NBC NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV39.m3u8
凤凰中文, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8
TBS NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV45.m3u8
大爱2, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8
ANN NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV48.m3u8
中天新闻「循环直播」, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
CNA, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV52.m3u8
HTB NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV53.m3u8
国会频道1, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV56.m3u8
国会频道2, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV57.m3u8
123 GO LIVE, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV58.m3u8
半岛新闻「英语」, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV59.m3u8
KBS NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV61.m3u8
KANSAI NEWS, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV62.m3u8
东森幼幼歌曲, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV63.m3u8
小猪佩奇「动画」, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV64.m3u8
动画1, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV65.m3u8
动画2, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV66.m3u8
儿童歌曲1, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV67.m3u8
儿童歌曲2, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV68.m3u8
镜新闻, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
Taiwan+, https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
